1960  179323175  3384200  1961  182992000  3488000
1962  185771000  3752200  1963  188483000  4109500
1964  191141000  4564600  1965  193526000  4739400
1966  195576000  5223500  1967  197457000  5903400
1968  199399000  6720200  1969  201385000  7410900
1970  203235298  8098000  1971  206212000  8588200
1972  208230000  8248800  1973  209851000  8718100
1974  211392000  10253400 1975  213124000  11292400
1976  214659000  11349700 1977  216332000  10984500
1978  218059000  11209000 1979  220099000  12249500
1980  225349264  13408300 1981  229146000  13423800
1982  231534000  12974400 1983  233981000  12108600
1984  236158000  11881800 1985  238740000  12431400
1986  240132887  13211869 1987  242282918  13508700
1988  245807000  13923100 1989  248239000  14251400
1990  248709873  14475600 1991  252177000  14872900
1992  255082000  14438200 1993  257908000  14144800
1994  260341000  13989500 1995  262755000  13862700
1996  265228572  13493863 1997  267637000  13194571
1998  270296000  12475634 1999  272690813  11634378
2000  281421906  11608072 2001  285317559  11876669
2002  287973924  11878954 2003  290690788  11826538
2004  293656842  11679474 2005  296507061  11565499
2006  299398484  11401511 2007  301621157  11251828
2008  304374846  11160543 2009  307006550  10762956
2010  308745538  10329135
