F  no   10  yes   F  yes  8   yes
F  no	9   yes   F  yes  10  yes
M  yes  8   yes   M  yes  11  yes
M  yes  11  yes	  F  yes  8   yes
F  yes  10  yes	  M  yes  6   no
F  yes  7   no	  F  yes  12  yes
M  no	6   no	  M  no	  7   no
M  no	6   no	  F  no	  12  no
M  yes  7   no	  F  no	  11  no
M  yes  12  yes	  M  yes  6   no
M  yes  10  yes	  F  no	  12  no
F  yes  8   yes	  F  no	  11  no
M  no	7   no	  F  yes  10  yes
F  yes  6   yes	  M  no	  11  no
M  no	12  no	  M  no	  9   no
F  yes  7   yes	  M  no	  10  no
M  no	8   yes	  M  yes  6   yes
M  no	6   no	  F  no	  10  no
F  no	8   no	  M  yes  6   no
M  yes  10  yes	  M  yes  8   yes
