Washington, George  57.2  1789  7.8  67.8  0
Adams, John 	    61.3  1797	4.0  90.7  0
Jefferson, Thomas   57.9  1801	8.0  83.2  0
Madison, James	    58.0  1809	8.0  85.3  0
Monroe, James	    58.8  1817	8.0  73.2  0
Adams, John Quincy  57.6  1825	4.0  80.6  0
Jackson, Andrew     62.0  1829	8.0  78.2  0
Van Buren, Martin   54.2  1837	4.0  79.6  0
Harrison, William   68.1  1841	0.1  68.1  0
Tyler, John	    51.0  1841	3.9  71.8  0
Polk, James 	    49.3  1845	4.0  53.6  0
Taylor, Zachary	    64.3  1849	1.3  65.6  0
Fillmore, Millard   50.5  1850	2.7  74.2  0
Pierce, Franklin    48.3  1853	4.0  64.9  0
Buchanan, James	    65.9  1857	4.0  77.1  0
Lincoln, Abraham    52.1  1861	4.1  56.2  1
Johnson, Andrew	    56.3  1865	3.9  66.6  0
Grant, Ulysses	    46.9  1869	8.0  63.2  0
Hayes, Rutherford   54.4  1877	4.0  70.3  0
Garfield, James     49.3  1881	0.5  49.8  1
Arthur, Chester     52.0  1881	3.5  57.1  0
Cleveland, Grover   48.0  1885	8.0  71.3  0
Harrison, Benjamin  55.5  1889	4.0  67.6  0
McKinley, William   54.1  1897	4.5  58.6  1
Roosevelt, Theodore 42.9  1901	7.5  60.2  0
Taft, William	    51.5  1909	4.0  72.5  0
Wilson, Woodrow	    56.2  1913	8.0  67.1  0
Harding, Warren     55.3  1921	2.4  57.7  0
Coolidge, Calvin    51.1  1923	5.6  60.5  0
Hoover, Herbert     54.6  1929	4.0  90.2  0
Roosevelt, Franklin 51.1  1933	12.1 63.2  0
Truman, Harry	    60.9  1945	7.8  88.6  0
Eisenhower, Dwight  62.3  1953	8.0  78.5  0
Kennedy, John	    43.6  1961	2.8  46.5  1
Johnson, Lyndon	    55.2  1963	5.2  64.4  0
Nixon, Richard	    56.0  1969	5.5  81.3  0
Ford, Gerald	    61.1  1974	2.5  93.5  0
Reagan, Ronald	    70.0  1981	8.0  93.3  0
